role,age,mainGroup,code,medianPay,percent10,percent20,percent25,percent30,percent40,percent60,percent70,percent75,percent80,percent90
Business and public service associate professionals,40-49,,35,16.66,10.97,12.60,13.16,13.82,15.18,18.27,20.26,21.49,23.83,29.96
Administrative and secretarial occupations,40-49,TRUE,4,11.74,8.59,9.37,9.78,10.10,10.93,12.83,14.12,14.99,15.95,19.43
Administrative occupations,40-49,,41,11.89,8.63,9.45,9.86,10.23,11.02,12.93,14.25,15.06,15.99,19.54
Secretarial and related occupations,40-49,,42,11.44,8.46,9.18,9.54,9.92,10.41,12.29,13.74,14.56,15.59,19.17
Skilled trades occupations,40-49,TRUE,5,9.49,7.65,8.21,8.37,8.60,9.13,10.13,10.64,11.27,11.81,x
Skilled agricultural and related trades,40-49,,51,9.83,x,x,x,x,x,x,x,x,x,x
"Skilled metal, electrical and electronic trades",40-49,,52,13.82,x,x,x,x,11.33,x,x,x,x,x
Skilled construction and building trades,40-49,,53,8.41,x,x,x,x,x,x,x,x,x,x
"Textiles, printing and other skilled trades",40-49,,54,9.31,7.53,8.10,8.24,8.44,8.83,9.65,10.36,10.56,11.24,x
"Caring, leisure and other service occupations",40-49,TRUE,6,9.56,7.70,8.10,8.33,8.54,9.00,10.15,10.84,11.39,11.86,13.47
Caring personal service occupations,40-49,,61,9.53,7.67,8.09,8.31,8.52,9.00,10.12,10.80,11.27,11.77,13.19
"Leisure, travel and related personal service occupations",40-49,,62,9.75,7.71,8.19,8.50,8.64,9.05,10.60,12.14,12.98,14.66,x
Sales and customer service occupations,40-49,TRUE,7,9.51,7.52,7.80,8.01,8.28,8.90,10.35,11.41,12.05,12.98,15.75
Sales occupations,40-49,,71,8.56,7.50,7.61,7.71,7.80,8.13,9.01,9.60,10.01,10.65,x
Customer service occupations,40-49,,72,11.51,8.19,9.21,9.59,9.94,10.60,12.20,13.50,14.19,15.13,x
"Process, plant and machine operatives",40-49,TRUE,8,8.62,7.50,7.66,7.73,7.85,8.15,9.44,10.42,10.80,11.51,x
"Process, plant and machine operatives",40-49,,81,8.58,7.50,7.65,7.70,7.82,8.04,9.04,10.07,10.52,11.05,x
Transport and mobile machine drivers and operatives,40-49,,82,9.44,x,7.84,7.85,8.10,8.39,10.65,x,x,x,x
Elementary occupations,40-49,TRUE,9,8.21,x,7.50,7.60,7.70,7.95,8.69,9.21,9.61,10.11,11.50
Elementary trades and related occupations,40-49,,91,8.17,7.50,7.50,7.56,7.61,7.85,8.52,9.04,9.37,9.66,x
Elementary administration and service occupations,40-49,,92,8.23,x,7.50,7.60,7.72,7.97,8.70,9.29,9.75,10.30,11.57
"Managers, directors and senior officials",50-59,TRUE,1,20.79,9.81,12.59,13.90,15.13,18.05,23.81,27.22,30.06,34.01,45.37
Corporate managers and directors,50-59,,11,22.71,10.37,13.63,15.03,16.48,19.72,25.72,30.37,33.58,37.48,47.78
Other managers and proprietors,50-59,,12,15.88,8.94,10.53,11.45,12.30,13.72,18.05,20.39,21.39,23.13,x
Professional occupations,50-59,TRUE,2,20.79,13.61,15.95,16.84,17.90,19.20,22.20,24.31,25.15,26.55,31.55
"Science, research, engineering and technology professionals",50-59,,21,21.62,13.83,16.37,17.66,18.50,19.97,24.05,26.32,27.36,28.79,x
Health professionals,50-59,,22,19.13,13.64,15.52,16.36,17.04,18.01,20.56,21.38,22.24,23.74,27.68
Teaching and educational professionals,50-59,,23,23.19,14.21,17.84,19.22,19.65,22.15,24.76,26.12,27.35,29.34,33.35
"Business, media and public service professionals",50-59,,24,20.05,12.73,15.05,16.12,16.92,18.60,21.37,23.88,24.93,25.86,31.43
Associate professional and technical occupations,50-59,TRUE,3,14.81,10.24,11.61,12.08,12.55,13.57,16.21,17.95,18.81,20.06,23.97
"Science, engineering and technology associate professionals",50-59,,31,12.14,8.66,9.66,10.13,10.41,11.16,13.17,14.63,15.60,16.80,x
Health and social care associate professionals,50-59,,32,13.44,10.14,11.13,11.53,11.95,12.76,14.35,15.19,15.84,16.56,x
Protective service occupations,50-59,,33,16.16,x,12.82,13.63,14.25,14.68,18.22,19.10,19.55,x,x
"Culture, media and sports occupations",50-59,,34,15.69,x,x,x,13.65,15.19,x,x,x,x,x
Business and public service associate professionals,50-59,,35,15.83,10.81,12.08,12.70,13.20,14.52,17.18,19.04,20.13,21.03,26.44
Administrative and secretarial occupations,50-59,TRUE,4,11.60,8.58,9.43,9.77,10.07,10.83,12.58,13.78,14.55,15.50,18.89
Administrative occupations,50-59,,41,11.77,8.76,9.61,9.90,10.22,10.99,12.77,13.88,14.66,15.51,18.86
Secretarial and related occupations,50-59,,42,11.45,8.21,9.09,9.32,9.70,10.40,12.08,13.33,14.28,15.35,19.51
Skilled trades occupations,50-59,TRUE,5,9.40,7.71,8.10,8.30,8.45,8.77,9.91,10.47,11.00,11.88,x
Skilled agricultural and related trades,50-59,,51,9.20,x,x,x,x,x,x,x,x,x,x
"Skilled metal, electrical and electronic trades",50-59,,52,14.83,x,x,x,10.24,13.60,16.37,17.67,x,x,x
Skilled construction and building trades,50-59,,53,,,,,,,,,,,
"Textiles, printing and other skilled trades",50-59,,54,9.03,7.69,8.07,8.30,8.39,8.61,9.60,9.95,10.27,10.47,x
"Caring, leisure and other service occupations",50-59,TRUE,6,9.71,7.73,8.20,8.43,8.70,9.19,10.36,11.07,11.50,12.07,13.57
Caring personal service occupations,50-59,,61,9.68,7.74,8.20,8.42,8.69,9.19,10.36,11.05,11.48,11.97,13.45
"Leisure, travel and related personal service occupations",50-59,,62,9.98,7.69,8.27,8.57,8.75,9.20,10.47,11.73,12.27,12.95,x
Sales and customer service occupations,50-59,TRUE,7,9.15,7.50,7.73,7.94,8.11,8.59,9.81,10.92,11.53,12.22,14.67
Sales occupations,50-59,,71,8.47,7.50,7.62,7.69,7.79,8.09,8.79,9.33,9.60,10.10,11.99
Customer service occupations,50-59,,72,11.40,8.15,9.08,9.44,9.85,10.61,11.98,13.14,13.81,14.57,x
"Process, plant and machine operatives",50-59,TRUE,8,9.01,7.50,7.63,7.75,7.96,8.43,9.62,10.31,10.70,11.23,12.88
"Process, plant and machine operatives",50-59,,81,8.79,7.50,7.59,7.71,7.87,8.24,9.27,9.92,10.24,10.81,12.28
Transport and mobile machine drivers and operatives,50-59,,82,10.55,x,7.99,8.81,9.18,10.09,10.75,11.27,x,x,x
Elementary occupations,50-59,TRUE,9,8.21,7.50,7.50,7.60,7.73,7.97,8.67,9.18,9.65,10.18,11.76
Elementary trades and related occupations,50-59,,91,8.29,x,x,7.50,7.61,7.93,8.76,9.29,9.71,10.08,x
Elementary administration and service occupations,50-59,,92,8.20,7.50,7.51,7.62,7.75,7.97,8.65,9.16,9.64,10.21,11.75
"Managers, directors and senior officials",60+,TRUE,1,16.88,8.60,9.71,11.20,12.25,14.46,18.97,22.99,25.11,29.44,x
Corporate managers and directors,60+,,11,17.67,8.59,9.83,11.32,12.38,15.37,21.95,27.69,30.66,x,x
